,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,tanh,20,,0.506,0.06969893880362714,
1,tanh,100,,0.642,0.05675396982105909,
2,tanh,250,,0.78,0.04249934219221915,
3,tanh,500,,0.865,0.03174459130217235,
4,tanh,1000,,0.908,0.02486296225643413,
5,relu,20,,0.505,0.0681506722892457,
6,relu,100,,0.657,0.05270686095880936,
7,relu,250,,0.793,0.03905469933681037,
8,relu,500,,0.879,0.029375246403990963,
9,relu,1000,,0.91,0.023609476348722205,
